,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
50,NC,196877.52,196877.52,NC,193379,NC,32.4,226.08,NC,NC,27,36,234,262,NC,NC,1387,NC,1387,5.5,NC,8204,7628,NC,24,8760,0,0,22856.96,18185,4983954.76,62831,47398,553170.54,469832.13,675175.26,830298.11,19777.7,30239.32,2,6,0,0,6,8,0,0,19.1,NC,NC,NC
51,342144,486720,786096,NR,560000,250000,72,78,72,540,18,96,76,90,NR,NR,3045,1777,3043,5,5,15716,15225,8885,24,8760,0,8540,79044.84,466766.41,4296318.96,385172.25,1085989.37,2320144.34,2096235.54,2085241.28,2274057.8,379379.52,442193,5,16,340,417,11,12,8,20,66.5,23,6,53
52,562460,NC,517934,517934,313181,NC,61.2,NC,NR,NC,55,60,291,316,NC,NC,1660,NC,1660,5,NC,10607,8300,NC,24,8760,NR,NR,27845.54,195936.26,2471899,177686,114701,1069972.55,974785.83,1198987.07,1510896.62,NR,NR,3,10,82,82,NR,NR,30,112,23.64,NC,NC,NC
53,743934.26,NC,601275,601275,513717,464849.4,84.6,NC,108,59.64,203,109,1051,1069,35,44,4842,3550,4812,4,4,19588,19368,14200,24,8760,0,4842,361082.87,301303.46,15395609.6,898811.61,3023554.75,3050391,2429515.52,2434884.81,2893201.04,549732,713343.25,8,13,402,403,3,4,126,78,125.66,17,54,47.88
54,NC,775179.05,775179.05,NC,516427,NC,194.4,264.6,NC,NC,60,109,301,382,NC,NC,3742,NC,3742,5,NC,20246,18710,NC,24,8760,0,11080,451266.01,512971.61,8591640.37,218043.17,507399.64,1727953.75,1361084.95,2128099.51,2672273.59,0,0,4,13,522,522,9,9,60,38,124.71,NC,NC,NC
55,292372,176249,468621,NC,359433,NC,64.8,29,NC,NC,0,60,0,0,NC,NC,1771,648,1771,5,5,12052,8855,3240,24,8760,NR,NR,328974.08,128401,1176234.26,57862.98,7661.33,867125.32,733360.6,889208.12,996590.27,102585,146700,3,5,184,202,16,16,62,57,40,46,36,19.24
56,85480,37805.99,123285.99,NC,108060,NC,58.1,56,NC,NC,0,48,0,0,NC,NC,1609,NC,1604,6,NC,9800,9654,NC,24,8760,2368448,17927,89389.17,74489.2,1252033.19,54840.92,65580.82,551746.11,450229.96,492462.11,565131.81,18275,18275,4,8,46,46,NR,NR,NR,NR,NR,NC,NC,NC
57,950000,1753581.6,2703581.6,NC,703272,204984,428.4,314,NC,64.8,1,97,21,22,NR,NR,1874,928,1770,5,5,10142,9370,4640,24,8760,15004,42181,104210.97,287006.26,2119716.85,28920,10584,1212204.94,661404.39,1288778.35,1430645.22,NR,NR,5,9,129,129,0,4,118,35,23.99,6,20,21.42
58,385673,NC,NR,NC,NR,188340,397.76,NC,NC,25.28,2,48,17,23,1,4,1518,1220,0,5,5,8302,7590,6100,24,8760,1111176,469698,182546.69,30000,777708.42,6500,0,402051,278541,347062.8,382022.53,115518.8,575218.8,1,4,43,44,0,5,3,17,20.27,7,8,10.26
59,116949.3,13196,128725.39,NR,119645,NC,87,16.5,28.2,NC,2,50,NR,NR,NC,NC,1342,977,1342,5,5,7443,6710,4885,24,8760,28,NR,181509.35,63114.3,4156729.17,12684.94,0,484819.01,355509,560572.18,702031.97,67504.53,84000,2,5,NR,NR,NR,NR,3,NR,57,NR,NR,NR
60,NC,160408,160408,NC,121755,NR,64.8,137,NC,36,9,24,44,45,6,8,365,302,365,4.5,4.5,1751,1642,1359,24,8760,0,0,28062,167150,3889601,3350256,75638,813086,619047,1070889,1112266,0,0,1,6,282,282,6,8,2,3,10.11,4,2,9.46
61,NC,220752,220752,NC,124103,NC,25.2,25.2,NC,NC,9,36,36,36,NC,NC,997,NC,997,5,NC,5359,4985,NC,24,8760,0,0,8173.66,69589.6,3230230.4,103463.5,208803.03,337593.21,316424.88,358540.25,517997.93,0,0,2,5,0,0,NR,NR,6,27,NR,NC,NC,NC
62,331407,124416,331407,331407,313181,NR,63,52.2,39.6,31.25,30,36,153,207,NR,NR,2433,646,2433,4,4,19232,9732,2584,24,8760,NR,NR,46991.86,41266.7,1794602.36,139020.57,303247.09,1943594,1896375.3,2008044.38,2156216.72,NR,NR,3,10,82,82,5,5,NR,NR,35,6,NR,12
63,194585.76,330436.79,525022.55,NC,NR,NR,104.4,115.6,NC,70,NR,278,NR,NR,0,0,5632,3364,2256,4,NR,22668,22528,NR,24,8760,NR,NR,NR,43237.5,NR,NR,NR,1017757.38,560131,1488584.3,1488584.3,0,0,6,9,194,194,2,8,NR,NR,NR,NR,NR,NR
64,1105920,NC,1010448,1010448,667525,314150.4,127.8,NC,105.98,111.6,140,97,552,559,NR,NR,3213,1543,2846,4.5,4.5,15797,14458,6944,24,8760,0,3110,208837.81,212898.94,3557959,127690.68,199132.54,1466722.27,1217958.43,1455377.57,1474149.65,NR,NR,4,14,808,819,3,3,54,3,75.8,26,0,63.66
65,178178,NC,NR,NC,101624,NR,24.34,NC,NC,37.2,NR,48,NR,NR,NR,NR,1055,839,978,5,5,8775,5275,4195,24,8760,NR,NR,118638.49,18202,171509.71,0,0,260776,170337,166923.32,170033.37,37354,37354,2,3,93,93,0,0,20,59,16.95,29,12,12.37
66,512460,NC,NR,NC,NR,18720,64.8,NC,NC,NR,NR,24,NR,NR,NR,NR,907,607,0,5,5,4934,4535,3035,24,8760,NR,NR,NR,14550,NR,NR,NR,193400.28,146690.28,171070.37,171070.37,NR,NR,0,4,80,118,0,0,NR,NR,9.4,NR,NR,7.6
67,292688.64,NC,NR,NC,NR,276825,39.6,NC,NC,77.5,NR,48,NR,NR,NR,NR,1302,1270,0,5,5,7525,6510,6350,24,8760,NR,NR,225354.37,2184,246298.75,0,0,227219,159419,134013.53,138310.5,NR,NR,2,5,11,11,21,21,22,2,13.36,14,7,13.65
68,NC,139207,139207,NC,122208,NC,47,38.6,NC,NC,8,12,81,90,NC,NC,852,NC,852,4.5,NC,4260,3834,NC,24,8760,NR,78,133812.47,78062.05,1699657.05,29822.15,186420.72,476732.4,367872.46,529416.41,751000.76,0,10434,1,4,146,149,20,20,7,3,17,NC,NC,NC
69,NC,195998.51,195998.51,NC,145184,NC,18,100,NC,NC,30,36,179,205,NC,NC,1007,NC,1007,4.5,NC,4632,4531,NC,24,8760,0,0,461735.61,52514.9,2856799.95,56266.78,124022.24,528188.51,518951.01,454505.96,665796.63,0,0,2,5,48,48,6,8,36,45,32.57,NC,NC,NC
